sim_time,co2_kg,hours,km,kwh,mode
129.14116772063582,0.02144,0.1,0.1,0.0776,forklift
129.48897432644208,0.02144,0.1,0.1,0.0776,forklift
129.62929408862607,0.02144,0.1,0.1,0.0776,forklift
129.71016094620032,0.02144,0.1,0.1,0.0776,forklift
129.73078349328716,0.02144,0.1,0.1,0.0776,forklift
131.12581832110308,0.02144,0.1,0.1,0.0776,forklift
131.4376999869012,0.02144,0.1,0.1,0.0776,forklift
132.5972885118857,0.02144,0.1,0.1,0.0776,forklift
133.03751547106387,0.02144,0.1,0.1,0.0776,forklift
133.1734906474525,0.02144,0.1,0.1,0.0776,forklift
133.4803129928924,0.02144,0.1,0.1,0.0776,forklift
133.75948466084859,0.02144,0.1,0.1,0.0776,forklift
135.40053888462054,0.02144,0.1,0.1,0.0776,forklift
136.33335291614884,0.02144,0.1,0.1,0.0776,forklift
136.60951946802655,0.02144,0.1,0.1,0.0776,forklift
136.98611548023453,0.02144,0.1,0.1,0.0776,forklift
137.01615182555133,0.02144,0.1,0.1,0.0776,forklift
137.10473254043018,0.02144,0.1,0.1,0.0776,forklift
137.1388336555318,0.02144,0.1,0.1,0.0776,forklift
137.21866284733153,0.02144,0.1,0.1,0.0776,forklift
137.26983261967405,0.02144,0.1,0.1,0.0776,forklift
139.14062455551738,0.02144,0.1,0.1,0.0776,forklift
139.34128973004994,0.02144,0.1,0.1,0.0776,forklift
139.47654673201393,0.02144,0.1,0.1,0.0776,forklift
139.61872318438273,0.02144,0.1,0.1,0.0776,forklift
139.92664286057396,0.02144,0.1,0.1,0.0776,forklift
140.06275988075248,0.02144,0.1,0.1,0.0776,forklift
140.9522190598874,0.02144,0.1,0.1,0.0776,forklift
141.64447650553691,0.02144,0.1,0.1,0.0776,forklift
141.82901796236646,0.02144,0.1,0.1,0.0776,forklift
141.99275594578828,0.02144,0.1,0.1,0.0776,forklift
174.1140831822362,0.02144,0.1,0.1,0.0776,forklift
174.2029582786011,0.02144,0.1,0.1,0.0776,forklift
174.54897860925203,0.02144,0.1,0.1,0.0776,forklift
174.8964402834069,0.02144,0.1,0.1,0.0776,forklift
177.0109166697015,0.02144,0.1,0.1,0.0776,forklift
177.3780219124352,0.02144,0.1,0.1,0.0776,forklift
177.49860382830482,0.02144,0.1,0.1,0.0776,forklift
177.66079915505637,0.02144,0.1,0.1,0.0776,forklift
177.8594354852835,0.02144,0.1,0.1,0.0776,forklift
178.99682070721232,0.02144,0.1,0.1,0.0776,forklift
179.8333067918641,0.02144,0.1,0.1,0.0776,forklift
180.0086669575561,0.02144,0.1,0.1,0.0776,forklift
180.2828875307918,0.02144,0.1,0.1,0.0776,forklift
180.76737590268414,0.02144,0.1,0.1,0.0776,forklift
180.8531800248966,0.02144,0.1,0.1,0.0776,forklift
181.1993375587678,0.02144,0.1,0.1,0.0776,forklift
181.2672794992151,0.02144,0.1,0.1,0.0776,forklift
181.27062428537315,0.02144,0.1,0.1,0.0776,forklift
181.46329806432036,0.02144,0.1,0.1,0.0776,forklift
181.91380747785274,0.02144,0.1,0.1,0.0776,forklift
182.39073688152473,0.02144,0.1,0.1,0.0776,forklift
182.58938792728242,0.02144,0.1,0.1,0.0776,forklift
182.76601589094625,0.02144,0.1,0.1,0.0776,forklift
182.79522848061285,0.02144,0.1,0.1,0.0776,forklift
184.71147817477527,0.02144,0.1,0.1,0.0776,forklift
184.84586223095965,0.02144,0.1,0.1,0.0776,forklift
185.267490760029,0.02144,0.1,0.1,0.0776,forklift
185.4645202767613,0.02144,0.1,0.1,0.0776,forklift
185.8644885093596,0.02144,0.1,0.1,0.0776,forklift
186.64328481970568,0.02144,0.1,0.1,0.0776,forklift
186.8342246033528,0.02144,0.1,0.1,0.0776,forklift
188.05223593707268,0.02144,0.1,0.1,0.0776,forklift
188.37059824527034,0.02144,0.1,0.1,0.0776,forklift
188.66000886144766,0.02144,0.1,0.1,0.0776,forklift
188.95109389107597,0.02144,0.1,0.1,0.0776,forklift
198.10328486948717,0.02144,0.1,0.1,0.0776,forklift
198.51864076256894,0.02144,0.1,0.1,0.0776,forklift
198.8766991691586,0.02144,0.1,0.1,0.0776,forklift
199.0034500571287,0.02144,0.1,0.1,0.0776,forklift
199.67461050866578,0.02144,0.1,0.1,0.0776,forklift
199.82799157705116,0.02144,0.1,0.1,0.0776,forklift
199.8819618169825,0.02144,0.1,0.1,0.0776,forklift
